s.no,Issue key,Issue id,Custom field (Epic Link),Ename,ESdate,ETdate,EASdate,EAEdate,Assignee,progress,Custom field (Story Points),Original Estimate,originalhours,Time Spent,spenthours,Remaining Estimate,remaininghours,Sprint,Sprint2,Sprint3,Summary
1,PCS-27974,594882,PCS-28018,May21-Performance,20-05-2021,17-06-2021,20-05-2021,17-06-2021,balachandras,0,,57600,16,0,0,57600,16,PCS-2122,,,QA: Testing the throughput with standard/less packet sizes/varied user load in ESP mode
2,PCS-27972,594870,PCS-28018,May21-Performance,20-05-2021,17-06-2021,20-05-2021,17-06-2021,balachandras,0,4,57600,16,0,0,57600,16,PCS-2122,,,QA:SM HW : ESP Max Users/Tunnel Setup count 
3,PCS-27539,593251,PCS-28018,May21-Performance,20-05-2021,17-06-2021,20-05-2021,17-06-2021,balachandras,0,4,57600,16,0,0,57600,16,PCS-2122,,,Planning to validate RAID and LVM testing
4,PCS-25735,583642,PCS-28018,May21-Performance,20-05-2021,17-06-2021,20-05-2021,17-06-2021,balachandras,75,4,57600,16,43200,12,57600,16,PCS-2122,PCS-2112,,QA: Testing the HW-RAID controller functionality
5,PCS-28004,594947,PCS-28042,May21-ISA8000x-Support,20-05-2021,03-06-2021,20-05-2021,03-06-2021,balajit,0,4,57600,16,0,0,57600,16,PCS-2122,,,"SM HW - ISA8000F Platform Testing, Code Review"
6,PCS-28003,594946,PCS-28042,May21-ISA8000x-Support,20-05-2021,03-06-2021,20-05-2021,03-06-2021,balajit,0,4,57600,16,0,0,57600,16,PCS-2122,,,SM HW - ISA8000F Platform addition - License and UI Changes
7,PCS-28002,594945,PCS-28042,May21-ISA8000x-Support,20-05-2021,03-06-2021,20-05-2021,03-06-2021,balajit,96,6,86400,24,82800,23,3600,1,PCS-2122,,,SM HW - ISA8000F Platform addition - Platform changes
8,PCS-27971,594869,PCS-28017,May21-Deployment-Phase2,20-05-2021,03-06-2021,20-05-2021,03-06-2021,kalaimani.k,100,4,57600,16,57600,16,0,0,PCS-2122,,,SM-HW : ISA8000 - Make Coreboot/init changes as platform specific  
9,PCS-27007,590473,PCS-28017,May21-Deployment-Phase2,20-05-2021,03-06-2021,20-05-2021,03-06-2021,kalaimani.k,25,8,115200,32,28800,8,86400,24,PCS-2118,PCS-2120,PCS-2122,SM-HW: ISA8000 Upgrade and Rollover Confirmation with LVM 
10,PCS-27969,594853,PCS-28017,May21-Deployment-Phase2,20-05-2021,03-06-2021,20-05-2021,03-06-2021,kalaimani.k,0,4,57600,16,0,0,57600,16,PCS-2122,,,LVM: Support and bug fixes
11,PCS-27566,593427,PCS-28018,May21-Performance,20-05-2021,17-06-2021,20-05-2021,17-06-2021,karthikr,0,4,28800,8,0,0,28800,8,PCS-2122,,,QA: SMHW: Tunnel setup rate test for 25k Users on SSL mode 
12,PCS-27538,593250,PCS-28018,May21-Performance,20-05-2021,17-06-2021,20-05-2021,17-06-2021,karthikr,0,4,57600,16,0,0,57600,16,PCS-2122,,,QA: SM HW : Perform throughput tests with IMIX traffic(SSL)
13,PCS-27978,594893,PCS-28018,May21-Performance,20-05-2021,17-06-2021,20-05-2021,17-06-2021,karthikr,0,4,57600,16,0,0,57600,16,PCS-2122,,,"QA: SM HW : SSL Max Throughput (25k Users/Tunnels, 1350 bytes)"
14,PCS-27975,594885,PCS-28018,May21-Performance,20-05-2021,17-06-2021,20-05-2021,17-06-2021,karthikr,50,2,28800,8,14400,4,14400,4,PCS-2122,,,QA: Build image from Build plan
